# BUSCO version is: 3.0.1 
# The lineage dataset is: eukaryota_odb9 (Creation date: 2016-11-02, number of species: 100, number of BUSCOs: 303)
# To reproduce this run: python /home/osboxes/BUSCOVM/busco3/scripts/run_BUSCO.py -i Trinity.fasta -o LeptodorusBusco -l /home/osboxes/BUSCOVM/lineages/eukaryota_odb9/ -m transcriptome -c 1
#
# Busco id	Status	Sequence	Score	Length
EOG0937004M	Complete	TRINITY_DN2957_c0_g1_i1	3772.2	1988
EOG09370082	Complete	TRINITY_DN14195_c0_g1_i1	1274.0	1015
EOG093700N7	Complete	TRINITY_DN5966_c0_g2_i1	308.4	410
EOG0937017X	Complete	TRINITY_DN4443_c0_g1_i2	856.9	1147
EOG0937018Z	Duplicated	TRINITY_DN3593_c1_g3_i4	1394.0	885
EOG0937018Z	Duplicated	TRINITY_DN3593_c1_g3_i5	1394.3	885
EOG0937018Z	Duplicated	TRINITY_DN3593_c1_g3_i8	1394.1	885
EOG0937019B	Duplicated	TRINITY_DN1758_c0_g1_i3	1509.6	909
EOG0937019B	Duplicated	TRINITY_DN1758_c0_g1_i4	1509.7	910
EOG0937019B	Duplicated	TRINITY_DN1758_c0_g1_i5	1509.6	910
EOG093701EE	Complete	TRINITY_DN3371_c0_g1_i2	833.6	596
EOG093701IQ	Complete	TRINITY_DN405_c0_g2_i3	643.5	380
EOG093701S0	Complete	TRINITY_DN3772_c0_g1_i1	1157.2	704
EOG093701SQ	Complete	TRINITY_DN16520_c0_g1_i1	1344.3	861
EOG093701V7	Complete	TRINITY_DN8442_c0_g1_i1	998.7	689
EOG0937029K	Complete	TRINITY_DN9636_c0_g1_i1	528.8	614
EOG093702AT	Complete	TRINITY_DN1195_c2_g3_i1	574.4	542
EOG093702DP	Fragmented	TRINITY_DN14656_c0_g1_i2	214.8	223
EOG093702MJ	Duplicated	TRINITY_DN6295_c0_g2_i2	549.7	523
EOG093702MJ	Duplicated	TRINITY_DN6295_c0_g2_i3	549.8	523
EOG093702PE	Complete	TRINITY_DN4870_c0_g4_i1	248.7	561
EOG0937033T	Complete	TRINITY_DN3862_c0_g1_i1	587.9	488
EOG0937036L	Duplicated	TRINITY_DN359_c0_g1_i1	640.0	800
EOG0937036L	Duplicated	TRINITY_DN359_c0_g1_i2	639.3	802
EOG093703C8	Complete	TRINITY_DN6995_c0_g1_i1	888.5	490
EOG093703DY	Duplicated	TRINITY_DN4506_c0_g1_i11	310.7	383
EOG093703DY	Duplicated	TRINITY_DN4506_c0_g1_i12	311.0	383
EOG093703DY	Duplicated	TRINITY_DN4506_c0_g1_i4	310.9	383
EOG093703N5	Duplicated	TRINITY_DN309_c0_g1_i1	254.7	258
EOG093703N5	Duplicated	TRINITY_DN309_c0_g1_i2	254.7	258
EOG093703N5	Duplicated	TRINITY_DN309_c0_g1_i5	254.6	258
EOG093703UX	Complete	TRINITY_DN7590_c0_g2_i1	918.2	597
EOG093703W1	Duplicated	TRINITY_DN1111_c0_g1_i1	685.2	702
EOG093703W1	Duplicated	TRINITY_DN1111_c0_g1_i5	653.0	611
EOG093703WD	Duplicated	TRINITY_DN1325_c0_g1_i1	684.6	581
EOG093703WD	Duplicated	TRINITY_DN1325_c0_g1_i2	685.0	581
EOG093703YA	Duplicated	TRINITY_DN686_c0_g1_i1	775.0	508
EOG093703YA	Duplicated	TRINITY_DN686_c0_g1_i2	774.9	512
EOG0937049Y	Complete	TRINITY_DN6768_c0_g1_i1	363.9	531
EOG093704GD	Complete	TRINITY_DN11358_c0_g1_i1	408.2	458
EOG093704HC	Complete	TRINITY_DN19862_c0_g1_i1	740.5	396
EOG093704J7	Complete	TRINITY_DN21034_c0_g1_i1	884.8	581
EOG093704Q0	Duplicated	TRINITY_DN2921_c0_g3_i1	180.7	213
EOG093704Q0	Duplicated	TRINITY_DN8390_c0_g2_i1	204.5	173
EOG093704UY	Complete	TRINITY_DN14143_c0_g1_i1	644.5	627
EOG0937050C	Complete	TRINITY_DN15564_c0_g1_i1	712.3	665
EOG093705DM	Complete	TRINITY_DN6735_c0_g2_i1	411.4	290
EOG093705E5	Duplicated	TRINITY_DN4268_c0_g1_i2	496.1	468
EOG093705E5	Duplicated	TRINITY_DN4268_c0_g1_i4	497.2	475
EOG093705EY	Complete	TRINITY_DN5614_c0_g1_i1	663.1	468
EOG093705KN	Complete	TRINITY_DN7797_c1_g1_i1	531.6	431
EOG093705U4	Complete	TRINITY_DN16593_c0_g1_i1	225.6	191
EOG093705VV	Complete	TRINITY_DN22706_c0_g1_i1	644.8	455
EOG093705YA	Complete	TRINITY_DN980_c0_g1_i1	816.2	537
EOG093705YE	Complete	TRINITY_DN2358_c0_g1_i1	311.2	391
EOG093705Z6	Complete	TRINITY_DN7994_c0_g1_i1	918.1	463
EOG0937060I	Complete	TRINITY_DN9092_c0_g3_i1	1077.8	855
EOG0937066G	Duplicated	TRINITY_DN3423_c0_g2_i1	645.8	430
EOG0937066G	Duplicated	TRINITY_DN3423_c0_g2_i3	646.3	429
EOG0937068H	Complete	TRINITY_DN445_c0_g1_i1	437.7	444
EOG093706PM	Fragmented	TRINITY_DN11994_c0_g5_i1	274.3	205
EOG093706RN	Complete	TRINITY_DN13741_c0_g1_i1	476.2	548
EOG093706X0	Duplicated	TRINITY_DN2639_c0_g1_i1	445.3	443
EOG093706X0	Duplicated	TRINITY_DN2639_c0_g1_i2	445.1	443
EOG09370762	Complete	TRINITY_DN19443_c0_g1_i1	873.1	487
EOG093707B7	Complete	TRINITY_DN19561_c0_g1_i1	460.8	444
EOG093707HK	Complete	TRINITY_DN158_c0_g1_i1	519.8	496
EOG093707LO	Duplicated	TRINITY_DN1540_c0_g1_i2	432.4	424
EOG093707LO	Duplicated	TRINITY_DN1540_c0_g1_i5	430.9	414
EOG093707LO	Duplicated	TRINITY_DN1540_c0_g1_i6	430.9	414
EOG093707RF	Complete	TRINITY_DN11776_c0_g2_i1	579.4	595
EOG093707VN	Complete	TRINITY_DN6518_c0_g1_i1	508.5	516
EOG093707VQ	Complete	TRINITY_DN1398_c0_g1_i1	530.4	587
EOG0937084T	Complete	TRINITY_DN8544_c0_g1_i1	356.5	422
EOG0937085E	Complete	TRINITY_DN21245_c0_g1_i1	530.9	395
EOG093708IM	Complete	TRINITY_DN16730_c0_g1_i1	467.0	422
EOG093708OP	Complete	TRINITY_DN3369_c0_g1_i2	633.9	369
EOG093708TP	Complete	TRINITY_DN3451_c0_g2_i1	417.4	400
EOG0937091Y	Complete	TRINITY_DN1070_c0_g3_i1	748.5	523
EOG0937092T	Complete	TRINITY_DN15524_c0_g1_i1	272.1	383
EOG0937092W	Complete	TRINITY_DN13099_c0_g2_i1	497.1	478
EOG093709BZ	Complete	TRINITY_DN30_c0_g1_i1	665.0	460
EOG093709HP	Duplicated	TRINITY_DN2745_c0_g1_i1	430.8	381
EOG093709HP	Duplicated	TRINITY_DN2745_c0_g1_i2	432.0	383
EOG093709JG	Duplicated	TRINITY_DN9390_c0_g1_i1	383.6	396
EOG093709JG	Duplicated	TRINITY_DN9390_c0_g1_i2	383.7	396
EOG093709JG	Duplicated	TRINITY_DN9390_c0_g1_i3	384.0	396
EOG09370A22	Complete	TRINITY_DN13094_c0_g1_i2	509.4	350
EOG09370ADO	Duplicated	TRINITY_DN3666_c0_g1_i2	618.4	382
EOG09370ADO	Duplicated	TRINITY_DN3666_c0_g1_i3	618.6	382
EOG09370AI8	Duplicated	TRINITY_DN1582_c0_g1_i1	266.2	245
EOG09370AI8	Duplicated	TRINITY_DN1582_c0_g1_i2	266.5	245
EOG09370AI8	Duplicated	TRINITY_DN1582_c0_g1_i3	266.6	245
EOG09370AJP	Complete	TRINITY_DN16727_c0_g1_i1	636.7	398
